id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3730932393,空谷幽兰,"空谷幽兰，常用来比喻品行高雅的人，在中国历史上，隐士这个独特的群体中就汇聚了许多这样的高洁之士，而今这些人是否还存在于中国广袤的国土之上？这是一直在困扰着比尔·波特的问题。因此，他于20世纪80年代末，亲自来到中国寻找隐士文化的传统与历史踪迹，探访了散居于各地的隐修者，借此表达他对中国传统文化的高度赞叹和无限向往，形成了风格独特的“文化复兴之旅”。
书中穿插了数十幅风景优美的摄影作品，这都是作者的好友、美国著名摄影家史蒂芬·R.约翰逊冒着生命危险拍摄的。",https://img1.doubanio.com/view/subject/l/public/s3621647.jpg,2009-3,https://book.douban.com/subject/3566368/,8.2,,,,,2023-03-24 13:04:12,[美] 比尔·波特 著 [美] 史蒂芬·R·约翰逊 摄 / 2009 / 南海出版公司
3711538555,中国古代文化常识,"◎编辑推荐

你知道武王克商的繁复真相么？你知道我们所能见到的有关猫的最早实物么？你知道知名的司母戊鼎有一个假耳朵么？你知道孟姜女姓姜不姓孟么？你知道汉代穿深衣的人所穿的裤子是露屁股的开裆袴么？你知道最古老的同心结是什么样子么？你知道黄帝战蚩尤的真相么？你知道最古老的酒瓶出现在6000年前么？你知道猪肉的“腥”字本来是什么意思么？你知道中国近3500年来经历过何等让人匪夷所思的三次大规模变冷么？
精彩内文：全彩版在黑白版的基础之上，精勘精校，完善并增补了与中国古代文化相关的考古新知，而且进一步提高了图片解析力。
精良印刷：内文选用优质日本进口纸张，用顶尖级德国海德堡四色印刷机印刷，并根据文物实物对印刷颜色做了校正，以期对文物影像做到高度还原。
◎内容简介
本书是王力教授主持并召集众多专家共同编写的关于中国古代文化常识的简明读本，出版50余年来前后历经4次重要修订，到今天仍然是大众认识中国古代文化面貌最重要、最全面的基础参考书。全书分礼俗、宗法、饮食、衣饰等十四个方面。本书曾在港台地区出版并被译成日、韩等语言流行于海内外。
本次修订突破了以往的模式，特聘请在美国任教的汉学专家刘乐园（Lewis Eden），以中国考古学黄金时代的成果为出发点，通过近世考古发现与传统文献相结合的“古史新证”，从考古学和人类学的角度增补最新文化研究成果。修订的文稿和图片注释无一句空话，深入浅出，新意连连，水平之高为数十年来同类出版物中之翘楚。修订的内容中增加了一部分与文稿相配合的图片，某些关键文物的照片解析力之高也是惊人的。完成后的修订版文稿，具有很强的实用性和趣味性，修订委员会还专门为有兴趣的中学生阅读本书扫清了字词和基本概念上的障碍。",https://img2.doubanio.com/view/subject/l/public/s27506982.jpg,2014-11,https://book.douban.com/subject/26021455/,9.4,,5,,,2023-03-05 12:57:18,王力 主编 马汉麟 等执笔 姜亮夫 叶圣陶 等审校 刘乐园 修订 / 2014 / 北京联合出版公司
2893769894,深度学习,"《深度学习》由全球知名的三位专家Ian Goodfellow、Yoshua Bengio 和Aaron Courville撰写，是深度学习领域奠基性的经典教材。全书的内容包括3个部分：第1部分介绍基本的数学工具和机器学习的概念，它们是深度学习的预备知识；第2部分系统深入地讲解现今已成熟的深度学习方法和技术；第3部分讨论某些具有前瞻性的方向和想法，它们被公认为是深度学习未来的研究重点。
《深度学习》适合各类读者阅读，包括相关专业的大学生或研究生，以及不具有机器学习或统计背景、但是想要快速补充深度学习知识，以便在实际产品或平台中应用的软件工程师。",https://img1.doubanio.com/view/subject/l/public/s29518349.jpg,2017-7-1,https://book.douban.com/subject/27087503/,8.3,,5,,,2023-02-13 17:18:21,[美] 伊恩·古德费洛 [加] 约书亚·本吉奥 [加] 亚伦·库维尔 / 2017 / 人民邮电出版社
3690668823,原则,"自然界的发展是有规律的，而任何事物都按其固有的轨迹运行。人们能够用一定的方法去认识它、体验它、并按照客观规律改造它。
从《原则》《债务危机》到本书，桥水投资公司创始人瑞·达利欧的研究角度涉及个体、组织、社会和世界。他想揭示的是个体的生活和工作原则、组织机构的运转原则、国家和社会的兴衰原则、世界秩序的变化原则。
在这本书中，瑞·达利欧探究的是社会和世界的运行规律和原则，他考察了500年财富和权力的所有重大变化背后反复出现的模式和因果关系。他认为在这些变化背后存在着永恒普适的规律。通过考察许多相互关联的历史事件，可以看到这些变化的典型模式、规律、周期和因果关系，并以此为基础推断未来。
达利欧认为，历史通常也是通过相对明确的生命周期、随着一代人向下一代人的过渡而逐步演进的。所有帝国和王朝都是在典型的大周期中崛起和衰落的，可以就此判断自己所处的位置，以此判断之后的走向。目前相对财富、权力和世界秩序正在发生典型的巨变，这将对所有国家的每个人都产生深远的影响……
这本书的分析和探究建立在达利欧独创的债务大周期、历史大周期的基础之上，揭示的是变化背后的永恒和普遍的力量，以此展望未来，搞清世界的运行原理，总结出永恒普适的原则，从而妥善地应对当前形势。",https://img1.doubanio.com/view/subject/l/public/s34091938.jpg,2022-1-10,https://book.douban.com/subject/35732136/,8.6,,5,,,2023-02-13 16:38:55,[美] 瑞·达利欧 / 2022 / 中信出版集团
2893778597,黑客与画家,"本书是硅谷创业之父Paul Graham 的文集，主要介绍黑客即优秀程序员的爱好和动机，讨论黑客成长、黑客对世界的贡献以及编程语言和黑客工作方法等所有对计算机时代感兴趣的人的一些话题。书中的内容不但有助于了解计算机编程的本质、互联网行业的规则，还会帮助读者了解我们这个时代，迫使读者独立思考。
本书适合所有程序员和互联网创业者，也适合一切对计算机行业感兴趣的读者。",https://img9.doubanio.com/view/subject/l/public/s4669554.jpg,2011-4,https://book.douban.com/subject/6021440/,8.7,,,,,2021-05-28 13:01:07,[美] Paul Graham / 2011 / 人民邮电出版社
2893777669,创客:新工业革命,"这是一场即将到来的革命，也是一场有可能引领中国产业大变革的革命。
这本书的核心是互联网和制造业融合在一起而引发的一场制造业革命。在这本书中，克里斯·安德森深入到新工业革命的前沿阵地，深入考察了创业者是如何使用开源设计和3D打印，将制造业搬上自家桌面的。在这个定制制造、“自己动手“设计产品、创新的时代，数以百万计的发明家和业余爱好者的集体潜力即将喷薄而出，全球制造业将由此而掀开新的一页。
本书作者安德森预测，在接下来的10年里，人们会将网络的智慧用于现实世界之中。未来不仅属于虚拟的网络公司，也属于现实世界的产业。他还惊人地预测，创客运动，这一数字世界真正颠覆现实世界的助推器，将在全球实现全民创造，掀起新一轮工业革命；创客一代必将成为下一次全球经济大潮的弄潮儿。",https://img2.doubanio.com/view/subject/l/public/s28119152.jpg,2015-6,https://book.douban.com/subject/26392726/,6.9,,,,,2021-05-28 13:00:10,[美]克里斯·安德森（Chris Anderson） / 2015 / 中信出版社
2893777291,数学之美,"几年前，“数学之美”系列文章原刊载于谷歌黑板报，获得上百万次点击，得到读者高度评价。读者说，读了“数学之美”，才发现大学时学的数学知识，比如马尔可夫链、矩阵计算，甚至余弦函数原来都如此亲切，并且栩栩如生，才发现自然语言和信息处理这么有趣。
今年，作者吴军博士几乎把所有文章都重写了一遍，为的是把高深的数学原理讲得更加通俗易懂，让非专业读者也能领略数学的魅力。读者通过具体的例子学到的是思考问题的方式 —— 如何化繁为简，如何用数学去解决工程问题，如何跳出固有思维不断去思考创新。",https://img9.doubanio.com/view/subject/l/public/s9114855.jpg,2012-5-1,https://book.douban.com/subject/10750155/,8.7,,,,,2021-05-28 12:59:43,吴军 / 2012 / 人民邮电出版社
2893776997,硅谷钢铁侠,"◎全球首部埃隆•马斯克授权著作！了解埃隆•马斯克最全面、最真实、最经典读本
◎创业者必读。首次披露马斯克如何建立和运营PayPal、特斯拉、Space X、Solar City等公司的细节。
◎创新者必读。关于科技、梦想、创业、工作、团队、人生。马斯克首次公开创新的秘密。
◎故事迷必读。硅谷最优秀科技作家阿什利•万斯历时将近4年，遍访300余人，写就记录马斯克传奇人生的经典著作。
◎科幻迷必读。从科幻小说到火星探险，一部关于人类好奇心的伟大史诗。
◎本书独家收录32张埃隆•马斯克成长、创业和婚姻生活的珍贵图片。
◎《纽约时报》、《经济学人》、亚马逊年度商业图书，20余国版本全球热卖中。
◎罗永浩、王小川、周鸿祎、张鹏、余晨、周航     撰文致敬
埃隆•马斯克是风格独具的梦想家，也是眼光独到、一再开创新商业模式的企业家。从PayPal，到特斯拉、Space X、太阳城，他的创业历程中遭遇了无数棘手的事件，但是每一次突破都令全球惊艳。无论钟情于什么领域，他都可以展现出惊人的专注力。44岁的马斯克已经涉足颠覆互联网、 金融、汽车、航空以及能源业。他近乎疯狂的对科技的专注，使他成为目前最成功的连续创业者和科技创业家。
硅谷资深科技记者阿什利•万斯与马斯克超过40个小时的深度对话，记录了他从粗放贫瘠的南非到国际商业世界顶峰的不凡之旅。在三年多的时间里，作者首次深入特斯拉、Space X等公司，采访了马斯克的伙伴、员工、家人、朋友超过300人，真实地讲述了马斯克在创立、运营他那些足够改变世界的公司（包括PayPal，特斯拉，Space X和太阳城）时发生的惊人故事。同时也揭示了企业家和创业者如何专注于创业本身，并同时管理多领域公司所需要的能力、方法和经验，以及如何在与许多竞争对手交手时不断推进企业创新的步伐。
埃隆•马斯克的人生经历，和无数改变世界的伟大实业家的经历一样，是那种可以被千百次地写进小说、搬上银幕后，每一次重看都依然激动人心的，属于全人类的传奇故事。",https://img9.doubanio.com/view/subject/l/public/s28571694.jpg,2016-4,https://book.douban.com/subject/26759508/,8,,,,,2021-05-28 12:59:22,[美] 阿什利·万斯 / 2016 / 中信出版社
2893771596,史蒂夫·乔布斯传（修订版）,"乔布斯唯一授权的官方传记，继2011年首版后推出全新修订版！
本书由著名作家沃尔特•艾萨克森（Walter Isaacson）在乔布斯生前与其面对面交流40多次、对乔布斯100多位家庭成员、朋友、竞争对手和同事的采访的基础上撰写而成，详尽描写了乔布斯的成长经历，创业生涯和打造苹果公司及其产品的全过程。第二版在新版的基础上进行了译文的重新审校修正，并进行了部分内容的增删，使这本经典著作整体上更为完善。并专门增加了作者最新撰写的后记，叙述了乔布斯去世后包括葬礼等更新的内容。",https://img2.doubanio.com/view/subject/l/public/s27207923.jpg,2014-1,https://book.douban.com/subject/25810506/,9.2,,,,,2021-05-28 12:53:02,[美] 沃尔特·艾萨克森 / 2014 / 中信出版社
